day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;ASH_COATED_OSMIUM;;;;;;;10013.0;30.0;;;;;10013.0;0.0
0;0;INTARIAN_PEPPER_ROOT;11991.0;19.0;;;;;12006.0;10.0;12009.0;19.0;;;11998.5;0.0
0;100;INTARIAN_PEPPER_ROOT;11994.0;9.0;11991.0;23.0;;;12007.0;9.0;12010.0;23.0;;;12000.5;0.0
0;100;ASH_COATED_OSMIUM;9995.0;13.0;;;;;10011.0;13.0;10013.0;30.0;;;10003.0;0.0
0;200;INTARIAN_PEPPER_ROOT;11991.0;20.0;;;;;12007.0;11.0;12010.0;20.0;;;11999.0;0.0
0;200;ASH_COATED_OSMIUM;9994.0;13.0;9992.0;21.0;;;10013.0;21.0;;;;;10003.5;0.0
0;300;ASH_COATED_OSMIUM;9994.0;11.0;9992.0;23.0;;;10010.0;11.0;10013.0;23.0;;;10002.0;0.0
0;300;INTARIAN_PEPPER_ROOT;11994.0;10.0;11991.0;24.0;;;12007.0;10.0;;;;;12000.5;0.0
0;400;ASH_COATED_OSMIUM;9994.0;13.0;9991.0;23.0;;;10010.0;13.0;10012.0;23.0;;;10002.0;0.0
0;400;INTARIAN_PEPPER_ROOT;11994.0;12.0;11991.0;25.0;;;;;;;;;11994.0;0.0
0;500;INTARIAN_PEPPER_ROOT;11994.0;11.0;11991.0;25.0;;;12007.0;11.0;12010.0;25.0;;;12000.5;0.0
0;500;ASH_COATED_OSMIUM;9994.0;12.0;9991.0;22.0;;;10010.0;12.0;10012.0;22.0;;;10002.0;0.0
0;600;INTARIAN_PEPPER_ROOT;11991.0;17.0;;;;;12007.0;9.0;12010.0;17.0;;;11999.0;0.0
0;600;ASH_COATED_OSMIUM;9991.0;24.0;;;;;10010.0;12.0;;;;;10000.5;0.0
0;700;ASH_COATED_OSMIUM;9991.0;27.0;;;;;10010.0;10.0;;;;;10000.5;0.0
0;700;INTARIAN_PEPPER_ROOT;11994.0;11.0;11991.0;24.0;;;12007.0;11.0;12010.0;24.0;;;12000.5;0.0
0;800;ASH_COATED_OSMIUM;9993.0;11.0;;;;;10012.0;26.0;;;;;10002.5;0.0
0;800;INTARIAN_PEPPER_ROOT;11994.0;9.0;;;;;;;;;;;11994.0;0.0
0;900;INTARIAN_PEPPER_ROOT;11994.0;8.0;11991.0;15.0;;;12007.0;8.0;12010.0;15.0;;;12000.5;0.0
0;900;ASH_COATED_OSMIUM;9992.0;11.0;9990.0;27.0;;;10008.0;11.0;10011.0;27.0;;;10000.0;0.0
0;1000;INTARIAN_PEPPER_ROOT;11994.0;11.0;11991.0;17.0;;;12007.0;11.0;12010.0;17.0;;;12000.5;0.0
0;1000;ASH_COATED_OSMIUM;9993.0;12.0;9990.0;26.0;;;10009.0;12.0;10011.0;26.0;;;10001.0;0.0
0;1100;ASH_COATED_OSMIUM;9993.0;13.0;;;;;;;;;;;9993.0;0.0
0;1100;INTARIAN_PEPPER_ROOT;;;;;;;12008.0;12.0;12011.0;15.0;;;12008.0;0.0
0;1200;ASH_COATED_OSMIUM;9999.0;2.0;9993.0;14.0;;;;;;;;;9999.0;0.0
0;1200;INTARIAN_PEPPER_ROOT;11995.0;8.0;11992.0;21.0;;;12008.0;8.0;12011.0;21.0;;;12001.5;0.0
0;1300;INTARIAN_PEPPER_ROOT;11995.0;8.0;;;;;12008.0;8.0;12011.0;21.0;;;12001.5;0.0
0;1300;ASH_COATED_OSMIUM;9993.0;11.0;9991.0;27.0;;;10009.0;11.0;10012.0;27.0;;;10001.0;0.0
0;1400;INTARIAN_PEPPER_ROOT;11995.0;8.0;11992.0;19.0;;;12008.0;8.0;;;;;12001.5;0.0
0;1400;ASH_COATED_OSMIUM;9993.0;12.0;9990.0;24.0;;;10009.0;12.0;10011.0;24.0;;;10001.0;0.0
0;1500;ASH_COATED_OSMIUM;9992.0;14.0;9990.0;20.0;;;10008.0;14.0;10011.0;20.0;;;10000.0;0.0
0;1500;INTARIAN_PEPPER_ROOT;11995.0;9.0;11992.0;21.0;;;12011.0;21.0;;;;;12003.0;0.0
0;1600;ASH_COATED_OSMIUM;9992.0;12.0;;;;;10011.0;22.0;;;;;10001.5;0.0
0;1600;INTARIAN_PEPPER_ROOT;11995.0;10.0;11992.0;24.0;;;12011.0;24.0;;;;;12003.0;0.0
0;1700;INTARIAN_PEPPER_ROOT;11995.0;10.0;11992.0;16.0;;;;;;;;;11995.0;0.0
0;1700;ASH_COATED_OSMIUM;9992.0;11.0;9990.0;27.0;;;10008.0;11.0;10011.0;27.0;;;10000.0;0.0
0;1800;INTARIAN_PEPPER_ROOT;11995.0;10.0;11992.0;15.0;;;12008.0;10.0;12011.0;15.0;;;12001.5;0.0
0;1800;ASH_COATED_OSMIUM;9997.0;2.0;9992.0;11.0;9989.0;25.0;10008.0;11.0;10010.0;25.0;;;10002.5;0.0
0;1900;ASH_COATED_OSMIUM;9992.0;14.0;9990.0;29.0;;;10008.0;14.0;;;;;10000.0;0.0
0;1900;INTARIAN_PEPPER_ROOT;11995.0;9.0;11992.0;23.0;;;12008.0;9.0;12011.0;23.0;;;12001.5;0.0
0;2000;ASH_COATED_OSMIUM;9993.0;10.0;;;;;10009.0;10.0;10012.0;25.0;;;10001.0;0.0
0;2000;INTARIAN_PEPPER_ROOT;11995.0;10.0;11992.0;25.0;;;12009.0;10.0;12012.0;25.0;;;12002.0;0.0
0;2100;INTARIAN_PEPPER_ROOT;;;;;;;12009.0;10.0;12012.0;23.0;;;12009.0;0.0
0;2100;ASH_COATED_OSMIUM;9993.0;13.0;9991.0;23.0;;;;;;;;;9993.0;0.0
0;2200;INTARIAN_PEPPER_ROOT;11996.0;12.0;11993.0;16.0;;;12009.0;12.0;12012.0;16.0;;;12002.5;0.0
0;2200;ASH_COATED_OSMIUM;;;;;;;10009.0;15.0;10012.0;30.0;;;10009.0;0.0
0;2300;INTARIAN_PEPPER_ROOT;11996.0;8.0;11993.0;22.0;;;12012.0;22.0;;;;;12004.0;0.0
0;2300;ASH_COATED_OSMIUM;9993.0;11.0;;;;;10009.0;11.0;10012.0;22.0;;;10001.0;0.0
0;2400;INTARIAN_PEPPER_ROOT;11996.0;12.0;11993.0;20.0;;;12009.0;12.0;12012.0;20.0;;;12002.5;0.0
0;2400;ASH_COATED_OSMIUM;9993.0;13.0;9991.0;23.0;;;10009.0;13.0;10012.0;23.0;;;10001.0;0.0
0;2500;ASH_COATED_OSMIUM;9993.0;10.0;9991.0;20.0;;;10012.0;20.0;;;;;10002.5;0.0
0;2500;INTARIAN_PEPPER_ROOT;12006.0;4.0;11996.0;10.0;11993.0;16.0;;;;;;;12006.0;0.0
0;2600;ASH_COATED_OSMIUM;9993.0;10.0;;;;;10012.0;25.0;;;;;10002.5;0.0
0;2600;INTARIAN_PEPPER_ROOT;11996.0;9.0;;;;;12009.0;9.0;12012.0;21.0;;;12002.5;0.0
0;2700;ASH_COATED_OSMIUM;9993.0;10.0;9991.0;24.0;;;10009.0;10.0;;;;;10001.0;0.0
0;2700;INTARIAN_PEPPER_ROOT;11996.0;11.0;11993.0;21.0;;;12009.0;11.0;12012.0;21.0;;;12002.5;0.0
0;2800;ASH_COATED_OSMIUM;9991.0;29.0;;;;;10009.0;10.0;10012.0;29.0;;;10000.0;0.0
0;2800;INTARIAN_PEPPER_ROOT;11996.0;10.0;11993.0;24.0;;;;;;;;;11996.0;0.0
0;2900;ASH_COATED_OSMIUM;9993.0;12.0;9991.0;23.0;;;10009.0;12.0;10012.0;23.0;;;10001.0;0.0
0;2900;INTARIAN_PEPPER_ROOT;11996.0;11.0;11993.0;19.0;;;12009.0;11.0;12012.0;19.0;;;12002.5;0.0
0;3000;ASH_COATED_OSMIUM;9993.0;10.0;9991.0;29.0;;;10009.0;10.0;10012.0;29.0;;;10001.0;0.0
